case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,existing_credits,job,num_dependents,class
441,'no checking','existing paid','new car','0<=X<2000','<100','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
442,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
443,'0<=X<200','delayed previously',other,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
444,'no checking','existing paid',education,'6000<=X<8000','<100','>=7','male single','36<=X<46',1,'unskilled resident',2,bad
445,'0<=X<200','critical/other existing credit',furniture/equipment,'4000<=X<6000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
446,'no checking','critical/other existing credit',education,'0<=X<2000','no known savings','>=7','female div/dep/mar','36<=X<46',2,'unskilled resident',1,good
447,'<0','existing paid','new car','0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
448,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
449,'>=200','existing paid',furniture/equipment,'0<=X<2000','no known savings','>=7','female div/dep/mar','46<=X<56',1,'high qualif/self emp/mgmt',1,good
450,'0<=X<200','delayed previously',repairs,'0<=X<2000','>=1000','1<=X<4','male mar/wid','56<=X<66',2,skilled,1,bad
451,'no checking','critical/other existing credit','used car','10000<=X<12000','no known savings','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
452,'no checking','existing paid',radio/tv,'4000<=X<6000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
453,'no checking','no credits/all paid',furniture/equipment,'2000<=X<4000','<100','>=7','male single','26<=X<36',2,skilled,1,good
454,'no checking','existing paid','used car','2000<=X<4000','<100','>=7','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
455,'<0','existing paid','new car','4000<=X<6000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,bad
456,'no checking','existing paid','used car','2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
457,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','36<=X<46',2,skilled,2,good
458,'<0','existing paid','used car','2000<=X<4000','<100','>=7','male single','26<=X<36',1,skilled,1,bad
459,'<0','existing paid','domestic appliance','0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
460,'no checking','existing paid',radio/tv,'4000<=X<6000','<100','<1','male single','26<=X<36',1,skilled,1,good
461,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','36<=X<46',1,skilled,2,good
462,'<0','existing paid','new car','0<=X<2000','<100','<1','male single','36<=X<46',1,skilled,1,good
463,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
464,'0<=X<200','existing paid',retraining,'0<=X<2000','no known savings','>=7','male single','36<=X<46',2,skilled,1,good
465,'no checking','existing paid',business,'0<=X<2000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,good
466,'<0','existing paid','used car','2000<=X<4000','<100','1<=X<4','male single','56<=X<66',1,skilled,2,good
467,'<0','delayed previously',radio/tv,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,'unskilled resident',1,bad
468,'no checking','delayed previously',radio/tv,'6000<=X<8000','no known savings','>=7','male single','26<=X<36',2,skilled,2,good
469,'no checking','delayed previously',business,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
470,'no checking','delayed previously','used car','4000<=X<6000','<100','4<=X<7','male single','26<=X<36',2,'unskilled resident',1,good
471,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','100<=X<500','<1','male mar/wid','18<=X<26',1,skilled,1,bad
472,'<0','existing paid',education,'0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,bad
473,'<0','existing paid','new car','0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,'unskilled resident',1,bad
474,'no checking','existing paid',retraining,'0<=X<2000','no known savings',unemployed,'male single','36<=X<46',1,'high qualif/self emp/mgmt',2,good
475,'0<=X<200','critical/other existing credit',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,skilled,1,bad
476,'<0','no credits/all paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
477,'no checking','existing paid','used car','2000<=X<4000','500<=X<1000','1<=X<4','male single','18<=X<26',1,skilled,1,good
478,'>=200','existing paid',radio/tv,'4000<=X<6000','<100','4<=X<7','male single','18<=X<26',1,skilled,1,good
479,'0<=X<200','existing paid',business,'0<=X<2000','100<=X<500','4<=X<7','male single','36<=X<46',1,'unskilled resident',1,good
480,'<0','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','>=7','male single','36<=X<46',2,skilled,2,good
481,'0<=X<200','critical/other existing credit',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
482,'0<=X<200','existing paid','new car','0<=X<2000','<100','<1','male single','26<=X<36',1,skilled,1,good
483,'<0','existing paid',furniture/equipment,'2000<=X<4000','>=1000','>=7','female div/dep/mar','56<=X<66',2,skilled,1,good
484,'no checking','delayed previously',furniture/equipment,'0<=X<2000','>=1000','4<=X<7','female div/dep/mar','26<=X<36',2,skilled,1,good
485,'no checking','critical/other existing credit','new car','0<=X<2000','500<=X<1000','1<=X<4','male single','36<=X<46',1,skilled,1,good
486,'0<=X<200','delayed previously','new car','0<=X<2000','<100',unemployed,'male single','46<=X<56',1,'high qualif/self emp/mgmt',1,bad
487,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','46<=X<56',1,skilled,1,good
488,'no checking','existing paid','new car','2000<=X<4000','<100','>=7','female div/dep/mar','56<=X<66',1,skilled,1,good
489,'no checking','existing paid','new car','0<=X<2000','100<=X<500','1<=X<4','male single','26<=X<36',1,'unskilled resident',1,good
490,'no checking','existing paid','new car','2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
491,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','>=7','male single','26<=X<36',2,skilled,1,good
492,'0<=X<200','no credits/all paid',business,'8000<=X<10000','<100','>=7','female div/dep/mar','36<=X<46',2,'high qualif/self emp/mgmt',1,bad
493,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
494,'0<=X<200','existing paid',radio/tv,'0<=X<2000','no known savings','>=7','male single','36<=X<46',1,skilled,1,good
495,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','36<=X<46',2,'unskilled resident',2,good
496,'<0','existing paid',furniture/equipment,'2000<=X<4000','no known savings','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,bad
497,'0<=X<200','existing paid',furniture/equipment,'8000<=X<10000','100<=X<500','<1','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
498,'no checking','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','4<=X<7','male single','36<=X<46',2,skilled,1,good
499,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','>=7','male mar/wid','26<=X<36',1,'unskilled resident',1,good
500,'>=200','critical/other existing credit','new car','0<=X<2000','100<=X<500','>=7','male div/sep','26<=X<36',2,skilled,2,good
501,'<0','existing paid','new car','2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
502,'<0','existing paid','used car','4000<=X<6000','<100','>=7','male single','36<=X<46',1,skilled,2,good
503,'>=200','existing paid',radio/tv,'0<=X<2000','100<=X<500','>=7','male div/sep','46<=X<56',1,skilled,1,good
504,'0<=X<200','critical/other existing credit',radio/tv,'0<=X<2000','100<=X<500','<1','male single','36<=X<46',2,skilled,2,bad
505,'<0','existing paid','new car','0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,bad
506,'no checking','existing paid','new car','0<=X<2000','no known savings','1<=X<4','male single','26<=X<36',1,'unskilled resident',1,bad
507,'>=200','critical/other existing credit','used car','2000<=X<4000','500<=X<1000','1<=X<4','male single','36<=X<46',1,skilled,1,good
508,'0<=X<200','all paid','new car','6000<=X<8000','100<=X<500',unemployed,'male single','26<=X<36',1,'high qualif/self emp/mgmt',2,bad
509,'no checking','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,skilled,1,good
510,'no checking','existing paid','used car','8000<=X<10000','100<=X<500','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
511,'<0','existing paid','new car','0<=X<2000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,bad
512,'no checking','existing paid','used car','4000<=X<6000','<100','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
513,'>=200','existing paid',business,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,good
514,'0<=X<200','delayed previously',radio/tv,'4000<=X<6000','<100','1<=X<4','male mar/wid','18<=X<26',2,skilled,1,good
515,'no checking','existing paid','new car','2000<=X<4000','no known savings','<1','male single','46<=X<56',1,skilled,1,good
516,'<0','critical/other existing credit','new car','0<=X<2000','<100','4<=X<7','female div/dep/mar','36<=X<46',2,skilled,1,good
517,'<0','critical/other existing credit','new car','0<=X<2000','<100','<1','male single','36<=X<46',1,'unskilled resident',2,good
518,'no checking','critical/other existing credit',furniture/equipment,'6000<=X<8000','<100','<1','female div/dep/mar','18<=X<26',2,skilled,1,bad
519,'<0','existing paid','new car','0<=X<2000','100<=X<500','>=7','male single','36<=X<46',1,skilled,1,good
520,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','male single','36<=X<46',2,skilled,1,good
521,'no checking','critical/other existing credit',repairs,'4000<=X<6000','<100','>=7','male single','36<=X<46',2,skilled,1,good
522,'<0','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
523,'<0','no credits/all paid',furniture/equipment,'6000<=X<8000','<100','1<=X<4','male single','46<=X<56',2,skilled,2,bad
524,'no checking','existing paid','used car','2000<=X<4000','100<=X<500','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
525,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,'unskilled resident',2,good
526,'0<=X<200','existing paid','used car','6000<=X<8000','<100','<1','male single','26<=X<36',2,skilled,1,good
527,'no checking','critical/other existing credit',education,'0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
528,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','male single','36<=X<46',2,'unskilled resident',2,good
529,'<0','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male div/sep','26<=X<36',1,skilled,1,bad
530,'<0','existing paid','new car','0<=X<2000','<100','<1','male single','36<=X<46',1,'unskilled resident',2,good
531,'0<=X<200','existing paid',education,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,2,good
532,'0<=X<200','existing paid','new car','2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,bad
533,'no checking','delayed previously','used car','0<=X<2000','<100','1<=X<4','male mar/wid','36<=X<46',1,skilled,1,good
534,'no checking','existing paid',radio/tv,'0<=X<2000','100<=X<500','4<=X<7','male mar/wid','26<=X<36',1,skilled,1,good
535,'no checking','existing paid',radio/tv,'2000<=X<4000','no known savings','<1','male single','18<=X<26',2,skilled,1,good
536,'>=200','critical/other existing credit',education,'2000<=X<4000','<100','<1','male div/sep','26<=X<36',1,skilled,1,bad
537,'<0','existing paid','new car','0<=X<2000','no known savings',unemployed,'female div/dep/mar','66<=X<76',1,'high qualif/self emp/mgmt',1,good
538,'0<=X<200','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','>=7','female div/dep/mar','36<=X<46',1,skilled,1,good
539,'<0','existing paid','new car','6000<=X<8000','<100','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
540,'>=200','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','36<=X<46',1,'unskilled resident',1,good
541,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','<1','male mar/wid','18<=X<26',1,skilled,1,bad
542,'no checking','delayed previously','new car','2000<=X<4000','<100','>=7','male single','56<=X<66',2,skilled,1,good
543,'<0','existing paid',furniture/equipment,'6000<=X<8000','no known savings','>=7','male single','26<=X<36',1,skilled,1,bad
544,'>=200','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,'unskilled resident',2,bad
545,'no checking','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','56<=X<66',2,'unskilled resident',1,good
546,'<0','delayed previously','new car','0<=X<2000','<100',unemployed,'male single','36<=X<46',2,skilled,2,bad
547,'no checking','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','36<=X<46',1,skilled,1,good
548,'no checking','existing paid',radio/tv,'0<=X<2000','<100','4<=X<7','male single','26<=X<36',1,skilled,2,good
549,'<0','all paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,'unskilled resident',1,bad
550,'no checking','critical/other existing credit','used car','8000<=X<10000','no known savings','4<=X<7','male single','26<=X<36',2,skilled,1,good
551,'no checking','critical/other existing credit',repairs,'0<=X<2000','no known savings','4<=X<7','female div/dep/mar','18<=X<26',2,skilled,1,good
552,'no checking','all paid',radio/tv,'0<=X<2000','500<=X<1000','>=7','male single','36<=X<46',1,'unskilled resident',2,good
553,'<0','existing paid',radio/tv,'6000<=X<8000','<100','4<=X<7','male mar/wid','26<=X<36',2,skilled,1,bad
554,'0<=X<200','critical/other existing credit','new car','0<=X<2000','100<=X<500','<1','male single','26<=X<36',1,skilled,1,good
555,'0<=X<200','existing paid',education,'0<=X<2000','<100','4<=X<7','female div/dep/mar','66<=X<76',2,'high qualif/self emp/mgmt',1,good
556,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','<1','male single','18<=X<26',1,skilled,1,bad
557,'0<=X<200','no credits/all paid','new car','2000<=X<4000','100<=X<500','<1','female div/dep/mar','26<=X<36',2,skilled,1,bad
558,'no checking','no credits/all paid','new car','4000<=X<6000','no known savings','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,bad
559,'<0','all paid',furniture/equipment,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,bad
560,'0<=X<200','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','<1','male single','26<=X<36',2,'unskilled resident',1,bad
561,'<0','existing paid','used car','2000<=X<4000','no known savings','>=7','male single','46<=X<56',1,skilled,2,good
562,'<0','all paid',radio/tv,'0<=X<2000','<100','4<=X<7','male single','18<=X<26',1,'unskilled resident',1,bad
563,'>=200','delayed previously',radio/tv,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
564,'0<=X<200','existing paid','new car','12000<=X<14000','no known savings','1<=X<4','male single','36<=X<46',1,skilled,1,bad
565,'0<=X<200','delayed previously',business,'4000<=X<6000','no known savings','1<=X<4','male single','36<=X<46',2,'high qualif/self emp/mgmt',1,good
566,'0<=X<200','delayed previously',radio/tv,'0<=X<2000','100<=X<500','4<=X<7','female div/dep/mar','18<=X<26',2,skilled,1,good
567,'<0','existing paid','new car','0<=X<2000','<100','4<=X<7','male div/sep','36<=X<46',1,skilled,1,bad
568,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','>=1000','>=7','male single','26<=X<36',1,skilled,1,good
569,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','no known savings','4<=X<7','male single','36<=X<46',2,skilled,2,good
570,'<0','existing paid',radio/tv,'6000<=X<8000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
571,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','18<=X<26',1,'unskilled resident',1,bad
572,'no checking','critical/other existing credit',radio/tv,'4000<=X<6000','<100','4<=X<7','male single','36<=X<46',1,skilled,1,good
573,'no checking','existing paid','used car','4000<=X<6000','no known savings',unemployed,'female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
574,'<0','existing paid',business,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
575,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','>=7','male single','26<=X<36',2,'unskilled resident',1,good
576,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','18<=X<26',2,skilled,1,good
577,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','26<=X<36',1,skilled,1,good
578,'no checking','critical/other existing credit',education,'0<=X<2000','no known savings','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
579,'0<=X<200','critical/other existing credit','new car','2000<=X<4000','<100','<1','male div/sep','26<=X<36',2,skilled,1,bad
580,'no checking','existing paid',retraining,'0<=X<2000','<100','<1','male mar/wid','26<=X<36',2,'unskilled resident',1,good
581,'0<=X<200','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','26<=X<36',2,skilled,1,bad
582,'0<=X<200','critical/other existing credit','new car','2000<=X<4000','<100','<1','male single','46<=X<56',2,'unskilled resident',2,good
583,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
584,'0<=X<200','existing paid',repairs,'2000<=X<4000','<100','<1','male single','26<=X<36',1,'unskilled resident',1,bad
585,'no checking','existing paid','new car','2000<=X<4000','no known savings','>=7','female div/dep/mar','46<=X<56',1,'high qualif/self emp/mgmt',1,good
586,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
587,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','36<=X<46',2,skilled,2,good
588,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','18<=X<26',1,'unskilled resident',1,good
589,'<0','existing paid','domestic appliance','0<=X<2000','<100','1<=X<4','male mar/wid','46<=X<56',1,'unskilled resident',1,bad
590,'<0','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','>=7','male single','56<=X<66',2,skilled,1,bad
591,'<0','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','female div/dep/mar','56<=X<66',4,'unskilled resident',1,good
592,'0<=X<200','delayed previously','new car','0<=X<2000','no known savings','1<=X<4','female div/dep/mar','36<=X<46',2,skilled,1,good
593,'no checking','existing paid',business,'0<=X<2000','>=1000','>=7','female div/dep/mar','36<=X<46',1,'unskilled resident',1,good
594,'0<=X<200','existing paid','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,'unskilled resident',1,bad
595,'<0','all paid',other,'0<=X<2000','no known savings','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
596,'0<=X<200','all paid','new car','0<=X<2000','100<=X<500','<1','female div/dep/mar','26<=X<36',1,'unskilled resident',1,bad
597,'<0','existing paid','new car','0<=X<2000','<100','4<=X<7','female div/dep/mar','18<=X<26',2,skilled,1,bad
598,'0<=X<200','no credits/all paid',business,'4000<=X<6000','<100','1<=X<4','male single','36<=X<46',3,'unskilled resident',1,bad
599,'no checking','critical/other existing credit','new car','2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,bad
600,'no checking','delayed previously',business,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
601,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','<1','female div/dep/mar','36<=X<46',1,skilled,1,good
602,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
603,'0<=X<200','all paid',education,'0<=X<2000','<100','4<=X<7','female div/dep/mar','26<=X<36',1,'unskilled resident',1,bad
604,'no checking','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
605,'>=200','existing paid',furniture/equipment,'0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
606,'<0','all paid',furniture/equipment,'2000<=X<4000','500<=X<1000','1<=X<4','male single','18<=X<26',1,skilled,1,good
607,'no checking','critical/other existing credit',business,'4000<=X<6000','<100','1<=X<4','male single','66<=X<76',1,'high qualif/self emp/mgmt',1,good
608,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','46<=X<56',1,skilled,1,bad
609,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','<1','male single','26<=X<36',1,skilled,1,good
610,'no checking','existing paid','used car','0<=X<2000','no known savings','>=7','male single','36<=X<46',1,skilled,2,good
611,'<0','existing paid','domestic appliance','0<=X<2000','100<=X<500',unemployed,'female div/dep/mar','18<=X<26',1,skilled,1,bad
612,'>=200','existing paid','new car','0<=X<2000','100<=X<500','>=7','female div/dep/mar','46<=X<56',1,'unskilled resident',2,bad
613,'<0','existing paid',radio/tv,'2000<=X<4000','>=1000','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
614,'<0','all paid','used car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,good
615,'no checking','delayed previously',furniture/equipment,'0<=X<2000','<100','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,bad
616,'0<=X<200','no credits/all paid',business,'12000<=X<14000','no known savings','1<=X<4','male single','46<=X<56',1,'high qualif/self emp/mgmt',1,good
617,'0<=X<200','delayed previously',radio/tv,'8000<=X<10000','no known savings','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
618,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','36<=X<46',3,skilled,2,good
619,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
620,'no checking','existing paid','new car','0<=X<2000','<100','1<=X<4','male div/sep','46<=X<56',1,'unskilled resident',1,good
621,'0<=X<200','critical/other existing credit',business,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,good
622,'no checking','critical/other existing credit','new car','0<=X<2000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,bad
623,'no checking','existing paid',business,'2000<=X<4000','no known savings','1<=X<4','male div/sep','36<=X<46',1,skilled,1,bad
624,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
625,'<0','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','56<=X<66',2,skilled,1,bad
626,'no checking','existing paid',radio/tv,'0<=X<2000','no known savings','>=7','male single','26<=X<36',1,skilled,1,good
627,'>=200','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,good
628,'0<=X<200','all paid','new car','0<=X<2000','100<=X<500','4<=X<7','male single','26<=X<36',1,skilled,1,bad
629,'no checking','critical/other existing credit',furniture/equipment,'4000<=X<6000','500<=X<1000','1<=X<4','male single','36<=X<46',2,skilled,1,good
630,'no checking','existing paid',education,'2000<=X<4000','no known savings','>=7','male single','56<=X<66',1,'unskilled resident',1,good
631,'<0','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
632,'<0','all paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,bad
633,'0<=X<200','existing paid',radio/tv,'0<=X<2000','no known savings','<1','male single','18<=X<26',1,skilled,1,good
634,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',2,skilled,1,bad
635,'0<=X<200','existing paid','new car','0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,'unskilled resident',1,bad
636,'no checking','existing paid',education,'0<=X<2000','<100','>=7','male single','46<=X<56',3,skilled,2,good
637,'no checking','existing paid',radio/tv,'0<=X<2000','500<=X<1000','4<=X<7','female div/dep/mar','26<=X<36',1,skilled,1,good
638,'no checking','delayed previously',radio/tv,'14000<=X<16000','<100','4<=X<7','male single','18<=X<26',2,skilled,1,good
639,'no checking','existing paid',radio/tv,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,2,good
640,'<0','delayed previously',radio/tv,'4000<=X<6000','<100','4<=X<7','male single','26<=X<36',2,skilled,2,bad
641,'<0','existing paid',education,'0<=X<2000','<100',unemployed,'female div/dep/mar','26<=X<36',1,'unemp/unskilled non res',1,bad
642,'0<=X<200','existing paid',repairs,'0<=X<2000','<100','>=7','male single','36<=X<46',2,'unskilled resident',1,good
643,'no checking','existing paid',education,'4000<=X<6000','100<=X<500','1<=X<4','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
644,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','male mar/wid','26<=X<36',2,skilled,1,good
645,'<0','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','male mar/wid','26<=X<36',2,'high qualif/self emp/mgmt',1,good
646,'no checking','delayed previously',business,'6000<=X<8000','no known savings','<1','male single','26<=X<36',2,skilled,1,bad
647,'<0','no credits/all paid',furniture/equipment,'4000<=X<6000','<100','1<=X<4','male div/sep','26<=X<36',2,skilled,1,good
648,'no checking','existing paid','new car','0<=X<2000','500<=X<1000','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
649,'>=200','existing paid','new car','0<=X<2000','<100','4<=X<7','male single','36<=X<46',1,skilled,2,bad
650,'<0','existing paid',education,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,'unskilled resident',2,bad
651,'<0','existing paid',education,'6000<=X<8000','<100','4<=X<7','male single','46<=X<56',1,'high qualif/self emp/mgmt',1,good
652,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,'unskilled resident',1,bad
653,'<0','existing paid','new car','2000<=X<4000','<100','>=7','male single','36<=X<46',1,skilled,1,bad
654,'0<=X<200','delayed previously','new car','8000<=X<10000','100<=X<500','>=7','male single','36<=X<46',4,'high qualif/self emp/mgmt',1,bad
655,'no checking','critical/other existing credit','used car','2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,good
656,'<0','existing paid','new car','2000<=X<4000','<100',unemployed,'male single','18<=X<26',1,skilled,1,good
657,'0<=X<200','existing paid','new car','0<=X<2000','<100','>=7','male single','36<=X<46',1,'unskilled resident',2,bad
658,'no checking','existing paid',radio/tv,'10000<=X<12000','no known savings','4<=X<7','male single','36<=X<46',1,skilled,1,good
659,'0<=X<200','no credits/all paid',business,'4000<=X<6000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
660,'0<=X<200','critical/other existing credit',furniture/equipment,'6000<=X<8000','<100','>=7','male single','36<=X<46',1,skilled,1,good
661,'>=200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,good
662,'<0','existing paid','new car','0<=X<2000','no known savings','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,bad
663,'no checking','existing paid',furniture/equipment,'2000<=X<4000','<100','>=7','male single','46<=X<56',2,skilled,1,good
664,'0<=X<200','delayed previously',furniture/equipment,'0<=X<2000','<100',unemployed,'male single','26<=X<36',2,'high qualif/self emp/mgmt',1,good
